id,user_id,extended_tweet_full_text,extended_tweet_full_text_duplicate,final,final_score,final_keyword_match
1.3047857422211932e+18,319088427.0,happy saturday dear michael i wish you a wonderful relaxing fun weekend and beautiful weather too hope you enjoy some socialdistancing on the water again love your beautiful pic take good care stay safe lots of love hugs and respect to you always from uk,"@mbsings Happy Saturday dear Michael, I wish you a wonderful, relaxing, fun weekend and beautiful weather too🌞 Hope you enjoy some #SocialDistancing on the water again. Love your beautiful pic! Take good care, stay safe❤🙏 Lots of love, hugs and respect to you always, from UK💞 https://t.co/sw2ForendP",happy saturday dear michael wish wonderful relax fun weekend beautiful weather hope enjoy socialdistancing the water love your beautiful pic take good care stay safe lot love hug respect to always from uk,100,hope
1.3047857472878671e+18,1415684970.0,i really hope y’all are taking care of your skin while wearing these masks  also i hope y’all still wearing masks,I really hope y’all are taking care of your skin while wearing these masks - also I hope y’all still wearing masks,really hope  take care your skin wear mask also hope  still wear mask,100,hope
1.3047857511551263e+18,1.062695930103808e+18,i hope someone corrected her false narrative president obama and biden2020 left a pandemic playbook trumpfailedamerica,@SteveGuest @realDonaldTrump I hope someone corrected her false narrative. President Obama and #Biden2020 left a pandemic playbook. #TrumpFailedAmerica,hope someone correct false narrative president obama biden2020 left pandemic playbook trumpfailedamerica,100,hope
1.3047857520022364e+18,1.3022044612851712e+18,lets hug each other and look at each others eyes lets be sure to meet once covid ends were doing what we can do as hard as we can i hope youll do your best too lets pray that things will get better soon and get through this winter lets meet the spring day together rm,"Let's hug each other and look at each other's eyes. Let's be sure to meet once COVID ends. We're doing what we can do as hard as we can, I hope you'll do your best too. Let's pray that things will get better soon and get through this winter. Let's meet the spring day together. RM https://t.co/tJwUFqBAYV",let hug look at others eye let sure to meet covid end do hard hope youll do your best let pray thing get well soon get winter let meet the spring day together rm,100,hope
1.304785760965419e+18,1.30406491515861e+18,im selling butterfly face mask extender  extension  ear savers  connector  adapter for rm500 get it on shopee now shopeemy,I'm selling Butterfly Face Mask Extender / Extension / Ear Savers / Connector / Adapter for RM5.00. Get it on Shopee now! https://t.co/j2ocCDE51e #ShopeeMY https://t.co/Nq2NGAe80f,im sell butterfly face mask extender extension ear saver connector adapter rm500 get shopee shopeemy,100,hope
1.3047857674079887e+18,1.2583104318038794e+18,so not answering on the phone is some kind of covid safety measurement,@App_Valley_vip @UberEats @Uber_Support So not answering on the phone is some kind of COVID safety measurement?,answer the phone kind covid safety measurement,100,safe
1.3047857688718664e+18,1.110667534368424e+18,id like that alot mickey  its a funny time right now in the business because of covid not many films are being done but one day when things pick up again if we get cast in something good  id like that alot   have a nice day mickey be safe,"@Mickey64191501 I'd like that alot Mickey! 
It's a funny time right now in the business.
Because of covid, not many films are being done.
But one day when things pick up again.
If we get cast in something good!
 I'd like that alot 🙂 
Have a nice day Mickey. Be safe 👍",id like alot mickey funny time right the business covid many film do one day thing pick get cast something good id like alot nice day mickey safe,100,safe
1.3047857722398188e+18,131175226.0,yeah gotta love that and here we have proof that they deliberately lied about the safety of reopening schools to please dear leader,"@geeoharee Yeah, gotta love that. And here we have proof that they deliberately lied about the safety of reopening schools to please Dear Leader.",yeah get ta love proof deliberately lie the safety reopen school to please dear leader,100,safe
1.3047857933036708e+18,3038201735.0,i hope all the people who wear their masks with their noses uncovered trip and scrape their faces,i hope all the people who wear their masks with their noses uncovered trip and scrape their faces :),hope the people wear mask nose uncovered trip scrape face,100,hope
1.3047858001906647e+18,623012329.0,ppe uniform racks drying racks available ppe healthandsafety covid19uk,PPE Uniform racks/ Drying racks available. #PPE #HealthAndSafety #Covid19UK https://t.co/Divz1RT4BT,ppe uniform rack dry rack available ppe healthandsafety covid19uk,100,safe
1.3047858076857262e+18,548236431.0,here is the president of the us telling voters to commit voter fraud all while claiming democrats are trying to rig the election what has trump to improve safety at polling locations during a pandemic  nothing not a single thing the potus should not be scared of voters,"@realDonaldTrump Here is the president of the US telling voters to commit voter fraud, all while claiming democrats are trying to rig the election. What has Trump to improve safety at polling locations during a pandemic ? Nothing not a single thing. The POTUS should not be scared of voters",the president the u tell voter to commit voter fraud claim democrat try to rig the election trump to improve safety at polling location pandemic nothing single thing the potus scar voter,100,safe
1.3047858057060147e+18,1.2648260706597888e+18,its saturday night and im all dressed up to go to the living room yay  i hope this pandemic gets over soon i miss socializing hahaha stayathome minor 2020  ©,"its saturday night and im all dressed up to go to the living room yay 🤩 i hope this pandemic gets over soon! i miss socializing hahaha #stayathome #minor #2020

© @nianaguerrero https://t.co/P5ZPcOBvPu https://t.co/3corI6kK3U",saturday night im dress to go to the living room yay hope pandemic get soon miss socialize hahaha stayathome minor 2020 ©,100,hope
1.3047858196942395e+18,1.0381030449600143e+18,join us today for teaching in the time of covid19 keeping students safe well and engaged online symposium,"Join us today for Teaching in the Time of COVID-19: Keeping Students Safe, Well and Engaged Online Symposium https://t.co/rfYArXgTfq",join u today teach the time covid19 keep student safe well engage online symposium,100,safe
1.30478587315064e+18,9.42654915175891e+17,lets all come together and create our symbol of gratitude for those who leave no stone unturned to safeguard us always   indiaskarunaquilt quiltforwarriors gratitudepatch blocklove pandemic inthistogether feelings gratitude  bollywood love india instagram tiktok,"Let's all come together and create our symbol of gratitude for those who leave no stone unturned to safeguard us always 😇

#indiaskarunaquilt #quiltforwarriors #gratitudepatch #blocklove #pandemic #InThisTogether #feelings #gratitude 
#bollywood #love #india #instagram #tiktok https://t.co/5oPCJro7tR",let come together create symbol gratitude leave no stone unturned to safeguard u always indiaskarunaquilt quiltforwarriors gratitudepatch blocklove pandemic inthistogether feeling gratitude bollywood love india instagram tiktok,100,safe
1.3047858837160305e+18,29293281.0,yall need serious help do what you want but wear a mask in the clubs in the shared cars at the picnic parties just be safe its not hard,Y'all need serious help. Do what you want. But wear a mask. In the clubs. In the shared cars. At the picnic parties. Just be safe. It's not hard.,yall need serious help do want wear mask the club the share car at the picnic party safe hard,100,safe
1.30478589254085e+18,1.2050599576384717e+18,astrazeneca coronavirus vaccine clinical trials resume in uk after pause over safety concerns,AstraZeneca coronavirus vaccine clinical trials resume in U.K. after pause over safety concerns https://t.co/LIrEDY01AQ,astrazeneca coronavirus vaccine clinical trial resume uk pause safety concern,100,safe
