id,user_id,extended_tweet_full_text,extended_tweet_full_text_duplicate,final,final_score,final_keyword_match
1.304785722843439e+18,1.1053655643885937e+18,repentance amp pleasing me is your best protection follow the hygiene m  love letter from jesus  video link   via   yahushua jesuschrist jesus christ lord god coronavirus covid19 protection repentance,"REPENTANCE &amp; PLEASING ME IS YOUR BEST PROTECTION... FOLLOW THE HYGIENE M.. ❤️ Love Letter from Jesus

Video Link: 
https://t.co/YTFFWSTZfy via @YouTube

#YAHUSHUA #JESUSCHRIST #JESUS #CHRIST #LORD #GOD #Coronavirus #Covid19 #Protection #Repentance https://t.co/7JGQBbB57z",repentance amp please your best protection follow the hygiene love letter from jesus video link via yahushua jesuschrist jesus christ lord god coronavirus covid19 protection repentance,100,protect
1.3047857309846446e+18,9.025795477276508e+17,save our nhs no to privatisation fair pay for health workers peoplebeforeprofit,Save our NHS. No to privatisation. Fair pay for health workers. #PeopleBeforeProfit,save nh no to privatisation fair pay health worker peoplebeforeprofit,100,save
1.3047857585076677e+18,42006012.0,risk assessment isn’t just about the risk to yourself and loved ones i can protect myself to a certain extent but i can’t always protect myself from risks others take and which therefore put me and others at risk i hate to say it but not everyone can be trusted in a pandemic,@Madz_Grant @PhilGregson @darrengrimes_ Risk assessment isn’t just about the risk to yourself and loved ones. I can protect myself to a certain extent but I can’t always protect myself from risks others take and which therefore put me and others at risk. I hate to say it but not everyone can be trusted in a pandemic,risk assessment  the risk to love one protect to certain extent  always protect from risk others take therefore put others at risk hate to say everyone trust pandemic,100,protect
1.304785760965419e+18,1.30406491515861e+18,im selling butterfly face mask extender  extension  ear savers  connector  adapter for rm500 get it on shopee now shopeemy,I'm selling Butterfly Face Mask Extender / Extension / Ear Savers / Connector / Adapter for RM5.00. Get it on Shopee now! https://t.co/j2ocCDE51e #ShopeeMY https://t.co/Nq2NGAe80f,im sell butterfly face mask extender extension ear saver connector adapter rm500 get shopee shopeemy,100,save
1.304785768771203e+18,8.103024588952863e+17,trump and nikki haley are giving cuomo crap about keeping restaurants closed to inside diners seems like cuomo is saving lives and trump and nikki are encouraging genocide,"@Brasilmagic Trump and Nikki Haley are giving Cuomo crap about keeping restaurants closed to inside diners. Seems like Cuomo is saving lives, and Trump and Nikki are encouraging Genocide.",trump nikki haley give cuomo crap keep restaurant close to inside diner seem like cuomo save life trump nikki encourage genocide,100,save
1.3047857964115558e+18,277415860.0,i’m not willing to trade one life for any life that’s why i support mask wearingsocial distancing it allows healthy people to more or less go about their daily lives and can help protect susceptible members of our population from contracting illness,@NoUserName36 @merrichristi @TheTweetOfGod I’m not willing to trade one life for any life. That’s why I support mask wearing/social distancing. It allows healthy people to more or less go about their daily lives and can help protect susceptible members of our population from contracting illness., willing to trade one life life  support mask wearingsocial distance allows healthy people to less go daily life help protect susceptible member population from contract illness,100,protect
1.3047858195768156e+18,14841203.0,really glad to see that floyd county brewing company is taking steps to protect people at their concert with social distancing requirements and requiring masks cough,"Really glad to see that Floyd County Brewing Company is taking steps to protect people at their concert with social distancing requirements and requiring masks. *cough*

https://t.co/yeLeD5ymak

@MayorJeffGahan @CityofNewAlbany",really glad to see floyd county brewing company take step to protect people at concert social distance requirement require mask cough,100,protect
1.3047858224037028e+18,98370314.0,he was worth it he saved huge life’s here in nagpur more than anything he ensured no one is hungry during pandemic he utilised the right resources at the right time for the right people,"@shirazsrkk @Tukaram_IndIAS He was worth it, he saved huge life’s here in Nagpur. More than anything he ensured no one is hungry during Pandemic. He utilised the right resources at the right time for the right people.",worth save huge life  nagpur anything ensure no one hungry pandemic utilised the right resource at the right time the right people,100,save
1.3047858757343437e+18,72158758.0,this is distraction   you played down the pandemic and used the really dumb reason that you didnt want to cause a panic   it shows just how little you think of the american people if you think wed rather be killed by a million pretty lies than saved by one ugly truth,"@realDonaldTrump This is distraction. 

You played down the pandemic and used the ""really dumb reason"" that you didn't want to cause a panic? 

It shows just how little you think of the American people if you think we'd rather be killed by a million pretty lies than saved by one ugly truth.",distraction played the pandemic use the really dumb reason didnt want to cause panic show little think the american people think wed rather kill million pretty lie save one ugly truth,100,save
1.3047859070951342e+18,176069160.0,naturally saving people from covid and my breath in one tidy package,@lizsilversmith @ianapharri Naturally. Saving people from Covid and my breath in one tidy package!,naturally save people from covid breath one tidy package,100,save
