id,user_id,extended_tweet_full_text,extended_tweet_full_text_duplicate,final,final_score,final_keyword_match
1.3047857053364838e+18,58256324.0,coronavirus isolation rulebreakers in england may be fined says gove,"Coronavirus: isolation rule-breakers in England may be fined, says Gove https://t.co/rYPpeg59U3",coronavirus isolation rulebreakers england may fin say gove,100,isolat
1.3047857076727644e+18,42007513.0,lockdown day 173  see my new daily photo on blipfoto,"""Lockdown Day 173"" https://t.co/MdPkYSfNo2  See my new daily photo on #blipfoto",lockdown day 173 see new daily photo blipfoto,100,lockdown
1.304785710017323e+18,81854233.0,an amesbury woman has been named a lockdown hero and is to have great western train named after her  37,"An Amesbury woman has been named a 'lockdown hero' and is to have Great Western train named after her.  (3/7)

https://t.co/0DfefSi8p8 https://t.co/wzWAPCx5E7",amesbury woman name lockdown hero to great western train name 37,100,lockdown
1.304785717491634e+18,4231833855.0,recommended read  whats more the coronavirus is sweeping across england and the uk seems certain to enter a period of lockdown if the transition to adulthood isnt difficult enough,"Recommended read - What's more, the coronavirus is sweeping across England and the UK seems certain to enter a period of lockdown. If the transition to adulthood isn't difficult enough. @HoraceCornflake https://t.co/0yu7Fa6Knm https://t.co/9D1PVOCI2W",recommend read whats the coronavirus sweep across england the uk seem certain to enter period lockdown the transition to adulthood isnt difficult enough,100,lockdown
1.3047857184982753e+18,1.296229131915493e+18,truthfully i took it out earlier in quarantine but i’m considering getting it pierced for a third time next year because  my vanity outweighs the inevitable pain of piercing through scar tissue again,truthfully I took it out earlier in quarantine but I’m considering getting it pierced for a third time next year because ??? my vanity outweighs the inevitable pain of piercing through scar tissue AGAIN,truthfully take out earlier quarantine  consider get pierce third time next year vanity outweighs the inevitable pain pierce scar tissue,100,quarantine
1.3047857240599306e+18,10141422.0,photos video hong kong disneyland resort celebrates 15th anniversary despite ongoing closure,"PHOTOS, VIDEO: Hong Kong Disneyland Resort Celebrates 15th Anniversary Despite Ongoing Closure

https://t.co/khBZOU1Yc6 https://t.co/OhPVsBhKC1",photo video hong kong disneyland resort celebrates 15th anniversary despite ongoing closure,100,closure
1.3047857247645737e+18,8774352.0,six months into quarantine,Six months into quarantine https://t.co/MwM7DdAEAS,six month quarantine,100,quarantine
1.3047857304981583e+18,395596319.0,bairn went back to school wednesday  just been informed she was in contact on wednesday with a member of staff who’s since tested positive  14 day quarantine at home for us now,Bairn went back to school Wednesday.  Just been informed she was in contact on Wednesday with a member of staff who’s since tested positive.  14 day quarantine at home for us now.  😬,bairn go back to school wednesday inform contact wednesday member staff  since test positive 14 day quarantine at home u,100,quarantine
1.304785731320197e+18,1226848202.0,‘totally blessed’ ronald mcdonald house keeps serving families despite pandemic,‘Totally blessed’: Ronald McDonald House keeps serving families despite pandemic https://t.co/AJ7N8VljL5,‘ totally bless  ronald mcdonald house keep serve family despite pandemic,100,house
1.3047857317437071e+18,108733822.0,white house south dakotas coronavirus case rise testing levels deeply concerning via,"White House: South Dakota's coronavirus case rise, testing levels 'deeply concerning' https://t.co/qQg7N9QF61 via @argusleader",white house south dakota coronavirus case rise test level deeply concern via,100,house
1.3047857327755756e+18,7.830270512384246e+17,its not that i disapprove of homeschooling its that i disapprove of elite snobs hiring tutors for their kids during a pandemic and then boast that theyre engaging in virtual learning  especially since these are the same people who were until covid bashing homeschoolers,"It's not that I disapprove of homeschooling.
It's that I disapprove of elite snobs hiring tutors for their kids during a pandemic and then boast that they're ""engaging in virtual learning."" 
Especially since these are the same people who were, until Covid, bashing homeschoolers.",disapprove homeschooling disapprove elite snob hire tutor kid pandemic boast theyre engage virtual learn especially since the people covid bashing homeschoolers,100,home
1.3047857346085317e+18,96557360.0,early goal for zaha southampton is sticking to social distancing crysou,Early goal for Zaha .....Southampton is sticking to Social Distancing #CRYSOU,early goal zaha southampton stick to social distance crysou,100,social distance
1.304785743680811e+18,803200170.0,i just finished watching lockdown tvtime,I just finished watching Lockdown! #tvtime https://t.co/BZPyAKXljk https://t.co/09BI20XNWn,finish watch lockdown tvtime,100,lockdown
1.3047857439366636e+18,15464216.0,thank you  for teaching kids to wear masks and social distance and practice proper hygiene  cnn covid covid19 sesamestreet bigbird,Thank you @CNN for teaching kids to wear masks and social distance and practice proper hygiene! 💛 #cnn #covid #covid19 #sesamestreet #bigbird https://t.co/beIIHnJoi0,thank teach kid to wear mask social distance practice proper hygiene cnn covid covid19 sesamestreet bigbird,100,social distance
1.3047857449769247e+18,8.291147150538835e+17,lily james says exercise helped her amid lockdown,https://t.co/NfYqxxVjwD -   Lily James says exercise helped her amid lockdown  https://t.co/RPa2aZxsro,lily james say exercise help amid lockdown,100,lockdown
1.3047857450272358e+18,9.83026663742206e+17,i bet you wear a mask when you are in the car by yourself and when you are at home by yourself get out of your bubble  live your life we are here only as long as god says it’s over you don’t have time to waste you never know when you won’t be here anymore,@blondygirl1 I bet you wear a mask when you are in the car by yourself and when you are at home by yourself. Get out of your bubble @AdamKohn6. Live your life! We are here only as long as God says it’s over. You don’t have time to waste. You never know when you won’t be here anymore.,bet wear mask the car at home get out your bubble live your life long god say   time to waste never know  anymore,100,home
1.3047857495862272e+18,581685850.0,shibuya lockdown remixes tokyo gabba posse remix industrialhardcore hardcoretechno,"Shibuya Lockdown Remixes (Tokyo Gabba Posse Remix) https://t.co/SajUkqTtcj
#industrialhardcore #hardcoretechno",shibuya lockdown remixes tokyo gabba posse remix industrialhardcore hardcoretechno,100,lockdown
1.3047857487643727e+18,51244407.0,me seeing people having full on parties indoors with 0 social distancing,"Me seeing people having full on parties, indoors, with 0 social distancing https://t.co/sxZ9NzN4Ka",see people full party indoors 0 social distance,100,social distance
1.304785752656474e+18,7.60146630951641e+17,we have been anticipating the indian buffet w you sir even before quarantine pa  all of us in my fa batch wishes you good health sir looking forward to personally meeting you again in your philo of love class when you come back from your sabbatical leave amping sir,"@HenryFrancisBE1 we have been anticipating the indian buffet w you sir, even before quarantine pa 😭 all of us in my fa batch wishes you good health sir! looking forward to personally meeting you again in your philo of love class when you come back from your sabbatical leave! amping sir❣️",anticipate the indian buffet w sir even quarantine pa u fa batch wish good health sir look forward to personally meeting your philo love class come back from your sabbatical leave amping sir,100,quarantine
1.304785752857948e+18,102349324.0,can you squeeze fifty people into a committee meeting room even if youre breaking social distancing rules,"@10DowningStreet Can you squeeze fifty people into a committee meeting room, even if you're breaking social distancing rules?",squeeze fifty people committee meeting room even youre break social distance rule,100,social distance
1.3047857574924902e+18,7.644648802250957e+17,the usa has now surpassed sweden with deaths per 100000 lockdown vs no lockdown masks vs no masks social distancing vs no social distancing also 47 countries have a higher cfr than the usa john hopkins publishes this data,"@SaraCarterDC The USA has now surpassed Sweden with deaths per 100,000. Lockdown vs No lockdown. Masks vs No masks. Social distancing vs No social distancing. Also 47 countries have a higher CFR than the USA. John Hopkins publishes this data. https://t.co/BKKYnXk4EY",the usa surpass sweden death per 100000 lockdown v no lockdown mask v no mask social distance v no social distance also 47 country high cfr the usa john hopkins publishes data,100,lockdown
1.3047857577108027e+18,1074273432.0,i sell yogurts from the boot of my car in order to provide for my family and also renovating my moms house due to the pandemic renovation has stopped i havent been receiving salary from since the beginning of the lockdown lottojerusalemadancechallenge,"@sa_lottery @MasterKGsa I sell yogurts from the boot of my car in order to provide for my family and also renovating my mom's house, due to the pandemic renovation has stopped. I haven't been receiving salary from since the beginning of the lockdown. #LOTTOJerusalemaDanceChallenge https://t.co/KKxJwWJ6Gx",sell yogurt from the boot car order to provide family also renovate mom house due to the pandemic renovation stop havent receive salary from since the begin the lockdown lottojerusalemadancechallenge,100,house
