id,user_id,extended_tweet_full_text,extended_tweet_full_text_duplicate,final,final_score,final_keyword_match
1.3047857184982753e+18,1.296229131915493e+18,truthfully i took it out earlier in quarantine but i’m considering getting it pierced for a third time next year because  my vanity outweighs the inevitable pain of piercing through scar tissue again,truthfully I took it out earlier in quarantine but I’m considering getting it pierced for a third time next year because ??? my vanity outweighs the inevitable pain of piercing through scar tissue AGAIN,truthfully take out earlier quarantine  consider get pierce third time next year vanity outweighs the inevitable pain pierce scar tissue,100,take out
1.3047857260857508e+18,1494313802.0,please be kind to teachers in the next few weeks  teacher teacherlife remotelearning covid,"Please be kind to teachers in the next few weeks.

#teacher #teacherlife #remotelearning #COVID https://t.co/nntjnHi8ND",please kind to teacher the next week teacher teacherlife remotelearning covid,100,remote
1.3047857405936804e+18,1.061881758570795e+18,closing next week had to move out for a few days in order for some quiet last ditch zooming the downside of working from home when kids have no school and girls are very chatty   hongkong,"Closing next week, had to move out for a few days in order for some quiet last ditch Zooming. The downside of working from home when kids have no school and girls are very chatty. 

#hongkong https://t.co/9KuB0Je2cA",closing next week to move out day order quiet last ditch zoom the downside work from home kid no school girl chatty hongkong,100,zoom
1.3047857410592973e+18,8.289751537365156e+17,due to the pandemic children are not going outside and pedophiles are unable to lure children netflix is giving something to quench the appetite of pedophiles  there is no other explanation for this cancelnetflix,"@ScottPresler @MaryMargOlohan Due to the pandemic, children are not going outside, and Pedophiles are unable to lure Children. Netflix is giving something to quench the appetite of pedophiles.

There is no other explanation for this.
#CancelNetflix",due to the pandemic child go outside pedophile unable to lure child netflix give something to quench the appetite pedophile no explanation cancelnetflix,100,netflix
1.3047857503246623e+18,301573457.0,i doubt it up here anyway there has been plenty of players tested positive and taken out of selectionbut this issue is different because the team is now suffering in a sporting sense as a result if that is allowed to happen theyll for sure start to hide it,"@hired_merc I doubt it, up here anyway. There has been plenty of players tested positive and taken out of selection......but this issue is different, because the team is now suffering in a sporting sense as a result, if that is allowed to happen, they'll for sure start to hide it.",doubt anyway plenty player test positive take out selectionbut issue different the team suffer sport sense result allow to happen theyll sure start to hide,100,take out
1.3047857613766287e+18,1231412010.0,the current covid19 pandemic has thrown the world upside down making a lot of people worried about the future learn how to prepare for retirement with the changes  personalfinance retirement,"The current COVID-19 pandemic has thrown the world upside down, making a lot of people worried about the future. Learn how to prepare for retirement with the changes. https://t.co/y3ExgzfmbG

#PersonalFinance #Retirement https://t.co/HsWBDrY5fN",the current covid19 pandemic thrown the world upside make lot people worried the future learn to prepare retirement the change personalfinance retirement,100,learn
1.30478578015855e+18,8.289751537365156e+17,due to the pandemic children are not going outside and pedophiles are unable to lure children netflix is giving something to quench the appetite of pedophiles  there is no other explanation for this cancelnetflix,"@DoniTheDon_ @MaryMargOlohan Due to the pandemic, children are not going outside, and Pedophiles are unable to lure Children. Netflix is giving something to quench the appetite of pedophiles.

There is no other explanation for this.
#CancelNetflix",due to the pandemic child go outside pedophile unable to lure child netflix give something to quench the appetite pedophile no explanation cancelnetflix,100,netflix
1.3047857860013957e+18,23986208.0,and by “doing well” do you mean you covid numbers are going to go up after the rally,@realDonaldTrump And by “doing well” do you mean you Covid numbers are going to go up after the rally? @maddow @JoyAnnReid, well  do mean covid number go to go the rally,100,to go
1.3047857888073807e+18,7.00496761954005e+17,no please don’t say thateveryone takes it out of context just go to polling place amp vote if you can go to grocery store shopping then 10minutes at polling place social distancing with a mask should be fine democrats are gonna cheat it’s inevitable just tell america your plans,@realDonaldTrump No please don’t say thatEveryone takes it out of context. just go to polling place &amp; vote if you can go to grocery store shopping. Then 10minutes at polling place social distancing with a mask should be fine. Democrats are gonna cheat it’s inevitable. Just tell America your plans,no please  say thateveryone take out context go to polling place amp vote go to grocery store shopping 10minutes at polling place social distance mask fine democrat gon na cheat  inevitable tell america your plan,100,take out
1.3047858126729093e+18,1.169797235841876e+18,the virus is never going to go away get used to it and start fucking living,"@YourAnonNews The virus is never going to go away. Get used to it, and start fucking living",the virus never go to go away get use to start fuck living,100,to go
1.3047858057060147e+18,1.2648260706597888e+18,its saturday night and im all dressed up to go to the living room yay  i hope this pandemic gets over soon i miss socializing hahaha stayathome minor 2020  ©,"its saturday night and im all dressed up to go to the living room yay 🤩 i hope this pandemic gets over soon! i miss socializing hahaha #stayathome #minor #2020

© @nianaguerrero https://t.co/P5ZPcOBvPu https://t.co/3corI6kK3U",saturday night im dress to go to the living room yay hope pandemic get soon miss socialize hahaha stayathome minor 2020 ©,100,to go
